Stelle,Link,Firmenname,Location
Automobil-Mechatroniker / Diagnostiker / Systemtechniker,https://www.jobscout24.ch/de/job/automobil-mechatroniker-diagnostiker-systemtechniker/8833754/,"LUEG AG, Zweigniederlassung Wilderswil",Wilderswil
"Automobilfachmann, Automobilmechatroniker oder Automobildiagnostiker w/m mit EFZ",https://www.jobscout24.ch/de/job/automobilfachmann-automobilmechatroniker-oder-automobildiagnostiker-mit-efz/7234345/,Garage Eggimann AG,Muri b. Bern
Projektleiter Kabelbau (m/w/d),https://www.jobscout24.ch/de/job/projektleiter-kabelbau/9136029/,Rhomberg Sersa Rail Tec AG,Villmergen
Automobil Mechatroniker/-in 100%,https://www.jobscout24.ch/de/job/automobil-mechatroniker/9161777/,AMAG Group,Rheinfelden
Projektleiter/in Schreinerei,https://www.jobscout24.ch/de/job/projektleiter-schreinerei/3084684/,Holzbau Hügli AG,Meikirch
Polymechaniker Fachrichtung CNC-Fräsen & CNC-Drehen (m/w/d),https://www.jobscout24.ch/de/job/polymechaniker-fachrichtung-cnc-fr%C3%A4sen-cnc-drehen/8988247/,Meag AG,Gretzenbach
Lagermitarbeiter / Logistiker EFZ 100% (w/m),https://www.jobscout24.ch/de/job/lagermitarbeiter-logistiker-efz/9183684/,Elri AG,Derendingen
Carrosserielackierer/in,https://www.jobscout24.ch/de/job/carrosserielackierer/9183143/,Carrosserie Ryser AG,Rotkreuz
Installateur Schwimmbadbau 80% - 100%,https://www.jobscout24.ch/de/job/installateur-schwimmbadbau/9183077/,Linz & Partner Schwimmbadtechnik GmbH,Baden
Fahrzeugaufbereiter (m/w/d) 100% oder Teilzeit,https://www.jobscout24.ch/de/job/fahrzeugaufbereiter-oder-teilzeit/8989933/,EugsterCar Center,Thal
Kalkulator/in Bau Tief- und Strassenbau 100 %,https://www.jobscout24.ch/de/job/kalkulator-bau-tief-und-strassenbau-100/9180241/,Isen Tiefbau AG,Otelfingen
Polymechaniker 100% (m/w/d),https://www.jobscout24.ch/de/job/polymechaniker/8736693/,Plastechnik AG,Bösingen
Automobil-Fachmann/Mechatroniker Volvo 100%,https://www.jobscout24.ch/de/job/automobil-fachmann-mechatroniker-volvo/9110932/,Autohaus Küng AG,Gebenstorf
Automobilfachmann oder Automobilmechatroniker (-in),https://www.jobscout24.ch/de/job/automobilfachmann-oder-automobilmechatroniker/9178522/,Emil Frey AG Baden,Oberrohrdorf
Lastwagenmechaniker /Automechaniker /Landmaschinenmechaniker,https://www.jobscout24.ch/de/job/lastwagenmechaniker-automechaniker-landmaschinenmechaniker/9177685/,annerturgi Nutzfahrzeuge AG,Turgi
Carrosserielackierer,https://www.jobscout24.ch/de/job/carrosserielackierer/9176050/,Carrosserie-Spritzwerk Rudin GmbH,Gelterkinden
Bauspengler / in,https://www.jobscout24.ch/de/job/bauspengler/9175984/,ALLTEC Dach AG,Zürich
Automobil-Fachmann/-frau oder eine/n Automobil-MechatronikerIn 80-100%,https://www.jobscout24.ch/de/job/automobil-fachmann-frau-oder-eine-automobil-mechatroniker/1984806/,Bohny Automobile AG,Steffisburg
Reifenpraktiker / Automobilfachmann 100%,https://www.jobscout24.ch/de/job/reifenpraktiker-automobilfachmann/9174479/,Garage Siegenthaler AG,Tobel
Konditor-Confiseur/In,https://www.jobscout24.ch/de/job/konditor-confiseur/9173192/,"Café-Chocolatier Amrein, Inhaber Michael Renggli",Willisau
Automobilmechatroniker oder Automobildiagnostiker 80-100% (m/w),https://www.jobscout24.ch/de/job/automobilmechatroniker-oder-automobildiagnostiker/9173050/,AUTO METER AG,Prattelen
Service-Aushilfe,https://www.jobscout24.ch/de/job/service-aushilfe/9171107/,BeAr Gastro GmbH,Kerns
Automobildiagnostiker/in (100%) m/w oder Automobilmechatroniker in Weiterbildung,https://www.jobscout24.ch/de/job/automobildiagnostiker-oder-automobilmechatroniker-weiterbildung/8685649/,Auto-Germann AG,Hunzenschwil
Netzelektriker:in 80 - 100 %,https://www.jobscout24.ch/de/job/netzelektriker-100/8753263/,Primeo Energie,Olten
Projektleiterin / Projektleiter oder Gebäudetechnikplanerin / Gebäudetechnikplaner Heizung / Kälte,https://www.jobscout24.ch/de/job/projektleiterin-projektleiter-oder-geb%C3%A4udetechnikplanerin-geb%C3%A4udetechnikplaner-heizung-k%C3%A4lte/9184548/,Helbling Beratung + Bauplanung,Zürich
Werkstattleiter/in 100% (m/w/d),https://www.jobscout24.ch/de/job/werkstattleiter/9011960/,Garage Antener GmbH,Brügg b. Biel
Sanitärinstallateur,https://www.jobscout24.ch/de/job/sanit%C3%A4rinstallateur/9168752/,Gebr. Knabenhans AG,Zürich
Bus-Spezialist (M/W),https://www.jobscout24.ch/de/job/bus-spezialist/7091479/,Alfag Egerkingen AG,Egerkingen
Metallbauer/in (m/w/d) 80 - 100 %,https://www.jobscout24.ch/de/job/metallbauer-100/9167541/,Stiftung Terra Vecchia,Kehrsatz
Automobilmechatroniker 60% - 100%,https://www.jobscout24.ch/de/job/automobilmechatroniker/2085900/,Garage Witschi AG,Burgdorf
Stellvertretende/r Werkstattleiter/in (w/m/d) 100% im Porsche Zentrum Bern,https://www.jobscout24.ch/de/job/stellvertretende-werkstattleiter-porsche-zentrum-bern/9098048/,Orchid Sports Cars Bern AG,Bern
"Projektleiter Bau (m/w/d) 100%, Region Zürich und Graubünden",https://www.jobscout24.ch/de/job/projektleiter-bau-region-z%C3%BCrich-und-graub%C3%BCnden/5643247/,Mathis Baumanagement AG,Chur
Monteur,https://www.jobscout24.ch/de/job/monteur/9165828/,Swissglasboy GmbH,Langenthal
Automobil-Diagnostiker / Automobil-Mechatroniker / Automobil-Fachmann,https://www.jobscout24.ch/de/job/automobil-diagnostiker-automobil-mechatroniker-automobil-fachmann/6127758/,Garage Elsener AG,Elsau
